,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
0,"RT @Scinati: @naatifavretto 24/05 - Inter 2x2 São Paulo - final da Libertadores 2006
07/06 - Inter 1x0 Barcelona - final do Mundial 2006",,,,
1,@goal Who is the saviour of Barcelona in competitions?,,,,
2,"RT @carlesenric: Lo lamentable es que se den cuenta ahora y que tanto barcelones sea ignorante ""Frente unitario en Barcelona contra Colau p…",,,,
3,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
4,RT @hmetromy: #Paris #PSG Neymar berhasrat menyertai semula Barcelona. https://t.co/8xhccES8PB,,,,
5,RT @ZachLowy: SPORT: Inter and Barcelona are close to an agreement for the transfer of Lautaro Martínez. Price is €60 million + Arturo Vida…,,,,
6,"RT @inter_latino: Según Di Marzio:

Inter avanza en las negociaciones por Sandro Tonali. Existe el interés por parte del jugador y un trato…",,,,
7,RT @farizzio: Teleamazonas típico de los Egas comenzó con su guerra mediática atacar a los que apoyan a Estrada Emelec y Barcelona. Para va…,,,,
8,Quiero creer que la serie del barcelona esta edita xq si en el vestuario solo el dt dice y bueno hagamos esto y nad… https://t.co/FShwhxjjEw,,,,
9,Promoção FC BARCELONA em andamento! #PESCM #FCB https://t.co/m2o6OQc1cU,,,,
10,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
11,RT @AntonioUbilla1: Barcelona SC 1990  @RuddyRRodriguez https://t.co/mKAsaj7zpu,,,,
12,"RT @MessiFC10i: • Messi has 42 Goals and Assists in 32 Games this season
• Contributed to 49% of Goals Barcelona scored this season
• Contr…",,,,
13,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
14,"RT @FichajeGoleador: 🇦🇷 Lautaro Martínez, la va a romper todita, la va a descoser todita, junto a 🇦🇷 Messi, en 🇪🇸 FC Barcelona.

*Tengo tod…",,,,
15,"RT @davidkurten: As illegal immigration accelerates, Priti Patel talks to France with her hands tied. Nothing will change unless:
The UK ex…",,,,
16,RT @Jonas26790517: Vem pra Barcelona  😂❤🎶🎶 https://t.co/WDSwy5iA3j,,,,
17,El Watford no sabe nada del Barça y tiene otros planes para Estupiñán https://t.co/5SfkKn6pIv https://t.co/gAj8FnU1yW,,,,
18,La Fundación Barça distribuye 248.000 mascarillas y materal sanitario https://t.co/3ie7BPBLBO https://t.co/LxmrvTqVCn,,,,
19,Araujo vuelve en otro momento crítico https://t.co/bFcZZfnELR https://t.co/ope8vT8Al2,,,,
20,"RT @goal: Guardiola &amp; Messi together again? 🤗

“I would very much like Guardiola to come back, but now he is at City &amp; it is a decision tha…",,,,
21,"RT @MemoriaHincha: #RankingsMdH Juegan en Primera hace +30 años:

🇦🇷
#Boca 107
#Velez 76
#Newells 56
#SanLorenzo 37
#Racing 34

🇮🇹
#Inter 1…",,,,
22,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
23,O Barcelona ganhou com um gol feito no último minuto,,,,
24,"Jika terpilih kembali sebagai Presiden FC Barcelona, Joan Laporta berencana merekrut kembali Pep Guardiola sebagai… https://t.co/3rfFtoJ52I",,,,
25,"RT @onaredonda: Range Rover de Arthur fica sem bateria e faz atleta ter que ir treinar de Ferrari e quebrar protocolo no Barcelona.

O prot…",,,,
26,"RT @Sporf: 🇦🇷 Lionel Messi has donated €500,000 to be distributed to 6 hospitals in Argentina to help the fight against Coronavirus. 

💰 Th…",,,,
27,"RT @globoesportecom: Na mira do Barcelona, Bruno Guimarães relembra chegada ao Athletico: ""O resto é história""

Jogador de 22 anos atualmen…",,,,
28,"RT @goal: Guardiola &amp; Messi together again? 🤗

“I would very much like Guardiola to come back, but now he is at City &amp; it is a decision tha…",,,,
29,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
30,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
31,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
32,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
33,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
34,"@callmevillaneve “Barcelona? Oh so this is where you were hiding afte all the time? Okay,” she said with a smirk la… https://t.co/4YROnOZTSy",,,,
35,"RT @globoesportecom: Na mira do Barcelona, Bruno Guimarães relembra chegada ao Athletico: ""O resto é história""

Jogador de 22 anos atualmen…",,,,
36,"1. Sincelejo 
2. Barranquilla 
3. Bogota 
4. Barcelona 
5. Bournemouth https://t.co/JJ48y0QKBX",,,,
37,RT @CGFLO_ET: #COVIDー19 #OperacionBalmis 19 militares de la #AALOG41 #BRILOG @CGFLO_ET @EjercitoTierra continúan prestando servicio en el E…,,,,
38,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
39,"Vox demandará a Twitter por permitir la tendencia 'matar a Abascal'

https://t.co/lzfLJ94nqp

Enviado desde @updayESP",,,,
40,"RT @vcanedo: Neymar no Barcelona foi o maior auge da história!

https://t.co/d2spWAwTEy",,,,
41,RT @Volve10Riquelme: Como desaprovecharon a Riquelme en el Barcelona... https://t.co/gunQBIpKWa,,,,
42,tô chateado que a Globo vai passar Flamengo x River nesse domingo... no dia do meu bday vai ser Vasco x Barcelona..… https://t.co/z8RO6JCmUq,,,,
43,FC BARCELONA Campaign Underway! #PESCM #FCB https://t.co/3RTBUNS4cX,,,,
44,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
45,"RT @marticuso: Fil d'acudits satírics sobre la falsificació romàntica i creació del barri ""Gòtic"" a principis del s.XX publicats a l'Esquel…",,,,
46,RT @Fichajes_futbol: El extremo del Bayern Múnich se cuela en la agenda de Real Madrid y FC Barcelona https://t.co/xC2kf6Klxr,,,,
47,@DivaVinophile @carpediemeire @CharlesMcCool @Touchse @Giselleinmotion @BokTower @VisitCentralFL @kilkeacastle… https://t.co/zdEdjfiMiX,,,,
48,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
49,"RT @GOAL_ID: Barcelona telah mencapai kesepakatan dengan Miralem Pjanic, menurut Sport 🤝

Laporan itu mengatakan Juventus sekarang tinggal…",,,,
50,"RT @marca: 🚨 Laporta: ""Estoy trabajando para presentarme a la presidencia del Barcelona"". El ex presidente tiene claro quién sería su entre…",,,,
51,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
52,"RT @Rfernandezn: Cual sería el Top 5 histórico de los mejores clubes de fútbol mundial sin importar un orden?

Liverpool
Madrid 
ManU
Barce…",,,,
53,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
54,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
55,"RT @marca: Litmanen, tras superar el coronavirus: ""Nunca me había sentido peor"" https://t.co/e2GOxZKrxF",,,,
